city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Hobart,AU,2163355,-42.88,147.33,53.6,93,0,2.28,1524315600
Port Alfred,ZA,964432,-33.59,26.89,74.45,77,80,8.61,1524316437
Rikitea,PF,4030556,-23.12,-134.97,77.06,100,80,10.29,1524316437
Hermanus,ZA,3366880,-34.42,19.24,73.28,42,0,4.81,1524316437
Ushuaia,AR,3833367,-54.81,-68.31,42.8,60,40,4.7,1524312000
Bredasdorp,ZA,1015776,-34.53,20.04,75.2,44,0,10.29,1524312000
Bluff,NZ,2206939,-46.6,168.33,51.86,100,88,26.4,1524316438
New Norfolk,AU,2155415,-42.78,147.06,53.6,93,0,2.62,1524315600
Punta Arenas,CL,3874787,-53.16,-70.91,39.2,100,75,11.41,1524312000
East London,ZA,1006984,-33.02,27.91,73.4,64,0,10.29,1524312000
Albany,AU,2077963,-35.02,117.88,66.8,71,48,6.38,1524316439
Busselton,AU,2075265,-33.64,115.35,65.09,100,92,12.19,1524316439
Kruisfontein,ZA,986717,-34.0,24.73,73.73,59,0,5.53,1524316439
Port Elizabeth,ZA,964420,-33.92,25.57,75.2,50,0,9.17,1524312000
Vaini,TO,4032243,-21.2,-175.2,73.4,100,75,7.16,1524315600
Cape Town,ZA,3369157,-33.93,18.42,69.8,52,0,14.99,1524312000
Kaitangata,NZ,2208248,-46.28,169.85,44.48,88,80,18.68,1524316440
Avarua,CK,4035715,-21.21,-159.78,79.31,99,36,15.88,1524316221
Mar del Plata,AR,3863379,-46.43,-67.52,51.68,68,12,13.65,1524316440
Saint-Philippe,RE,935215,-21.36,55.77,82.4,69,75,6.93,1524313800
Chuy,UY,3443061,-33.69,-53.46,68.78,100,88,13.09,1524316440
Tuatapere,NZ,2180815,-46.13,167.69,48.26,100,92,18.61,1524316441
Dunedin,NZ,2191562,-45.87,170.5,43.31,74,12,18.39,1524316195
Souillac,MU,933995,-20.52,57.52,82.4,69,40,14.99,1524312000
Mount Gambier,AU,2156643,-37.83,140.78,55.91,91,0,3.91,1524316376
Castro,CL,3896218,-42.48,-73.76,52.13,95,88,8.61,1524316441
Cidreira,BR,3466165,-30.17,-50.22,69.95,97,88,5.64,1524316441
Portland,AU,2152668,-33.35,149.98,53.57,93,76,2.35,1524316442
Arraial do Cabo,BR,3471451,-22.97,-42.02,74.99,87,88,7.16,1524316442
Esperance,AU,2071860,-33.86,121.89,69.95,38,80,7.61,1524316442
Rawson,AR,3839307,-43.3,-65.11,45.29,60,0,2.8,1524316442
Mahebourg,MU,934322,-20.41,57.7,82.4,69,40,14.99,1524312000
Jamestown,SH,3370903,-15.94,-5.72,76.16,99,76,12.86,1524316328
Christchurch,NZ,2192362,-43.53,172.64,48.2,87,68,4.7,1524315600
Rio Gallegos,AR,3838859,-51.62,-69.22,41.0,56,40,14.99,1524312000
Rocha,UY,3440777,-34.48,-54.34,66.62,100,92,3.62,1524316443
Coihaique,CL,3894426,-45.58,-72.07,44.6,87,40,4.7,1524312060
Necochea,AR,3430443,-38.55,-58.74,68.15,94,0,4.25,1524316444
Waitati,NZ,2179825,-45.75,170.57,43.31,74,12,18.39,1524316444
Comodoro Rivadavia,AR,3860443,-45.87,-67.48,51.8,53,0,6.93,1524312000
Waipawa,NZ,2185329,-39.94,176.59,58.43,71,20,24.2,1524316444
Southbridge,NZ,2182525,-43.81,172.25,48.2,87,68,4.7,1524315600
Wyndham,NZ,2178933,-46.33,168.85,45.83,77,92,14.65,1524316444
Port Lincoln,AU,2063036,-34.72,135.86,64.37,95,0,9.89,1524316445
Pareora,NZ,2181133,-44.49,171.21,47.0,71,0,11.34,1524316445
Te Anau,NZ,2181625,-45.41,167.72,37.91,95,80,3.51,1524316445
Burnie,AU,2173125,-41.05,145.91,60.5,100,92,9.66,1524316445
Saldanha,ZA,3361934,-33.01,17.94,73.4,40,0,3.36,1524312000
Wanaka,NZ,2184707,-44.7,169.14,39.71,52,0,5.82,1524316446
Rio Grande,BR,3451138,-32.03,-52.1,68.0,100,90,5.82,1524312000
Otane,NZ,2185329,-39.89,176.62,56.09,65,8,17.0,1524316506
Hokitika,NZ,2206894,-42.72,170.96,55.19,96,20,21.92,1524316506
Margate,ZA,978895,-30.86,30.37,74.54,88,8,9.84,1524316506
San Carlos de Bariloche,AR,7647007,-41.13,-71.31,46.4,87,40,3.36,1524312000
Trelew,AR,3833883,-43.25,-65.31,45.29,60,0,2.8,1524316507
Ancud,CL,3899695,-41.87,-73.83,53.57,93,92,7.09,1524316508
Puerto Montt,CL,3874960,-41.47,-72.94,51.8,93,75,9.17,1524312000
Murchison,NZ,2186377,-41.8,172.33,45.11,100,92,2.84,1524316508
Viedma,AR,3832899,-40.81,-62.99,57.17,83,0,5.03,1524316508
Batemans Bay,AU,2176639,-35.71,150.18,60.5,100,88,3.13,1524316508
Calbuco,CL,3897334,-41.77,-73.13,51.8,93,75,9.17,1524312000
General Roca,AR,3855065,-39.03,-67.58,51.8,87,0,3.02,1524312000
Hastings,NZ,2190224,-39.64,176.84,62.12,82,0,20.36,1524316483
Bambous Virieux,MU,1106677,-20.34,57.76,82.4,69,40,14.99,1524312000
