city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Punta Arenas,CL,3874787,-53.16,-70.91,39.2,100,40,28.86,1524272400
Ushuaia,AR,3833367,-54.81,-68.31,41.0,86,40,6.93,1524272400
Port Elizabeth,ZA,964420,-33.92,25.57,51.8,93,0,4.7,1524272940
Port Alfred,ZA,964432,-33.59,26.89,62.14,100,0,5.5,1524276891
Busselton,AU,2075265,-33.64,115.35,69.07,98,64,17.2,1524276892
East London,ZA,1006984,-33.02,27.91,71.05,100,0,10.94,1524276892
Hermanus,ZA,3366880,-34.42,19.24,41.53,94,0,2.33,1524276892
Bluff,NZ,2206939,-46.6,168.33,51.52,100,80,28.27,1524276892
Albany,AU,2077963,-35.02,117.88,71.77,66,20,13.67,1524276892
Bredasdorp,ZA,1015776,-34.53,20.04,50.0,87,0,4.7,1524272400
Vaini,TO,4032243,-21.2,-175.2,80.6,88,90,5.82,1524276000
Rikitea,PF,4030556,-23.12,-134.97,79.15,100,92,10.6,1524276893
New Norfolk,AU,2155415,-42.78,147.06,64.4,55,0,3.36,1524276000
Hobart,AU,2163355,-42.88,147.33,64.4,55,0,3.36,1524276000
Kruisfontein,ZA,986717,-34.0,24.73,56.74,95,0,7.07,1524276894
Kaitangata,NZ,2208248,-46.28,169.85,46.48,96,88,22.24,1524276894
Cape Town,ZA,3369157,-33.93,18.42,48.2,100,20,3.36,1524272400
Avarua,CK,4035715,-21.21,-159.78,78.34,100,8,11.39,1524276894
Saint-Philippe,RE,935215,-21.36,55.77,78.8,78,90,5.82,1524274200
Mar del Plata,AR,3863379,-46.43,-67.52,55.84,60,0,17.87,1524276894
Chuy,UY,3443061,-33.69,-53.46,69.34,92,88,8.37,1524276895
Souillac,MU,933995,-20.52,57.52,78.8,83,75,14.99,1524272400
Tuatapere,NZ,2180815,-46.13,167.69,47.92,100,92,22.62,1524276895
Cidreira,BR,3466165,-30.17,-50.22,69.97,88,48,6.02,1524276895
Dunedin,NZ,2191562,-45.87,170.5,51.52,60,48,19.33,1524276622
Portland,AU,2152668,-33.35,149.98,64.75,78,20,2.82,1524276896
Castro,CL,3896218,-42.48,-73.76,53.32,98,92,7.92,1524276896
Plettenberg Bay,ZA,964712,-34.05,23.37,57.64,100,0,1.7,1524276896
Rocha,UY,3440777,-34.48,-54.34,66.55,95,68,5.23,1524276896
Arraial do Cabo,BR,3471451,-22.97,-42.02,71.68,97,20,7.85,1524276896
Jamestown,SH,3370903,-15.94,-5.72,75.91,100,92,13.11,1524276896
Mahebourg,MU,934322,-20.41,57.7,78.8,83,75,14.99,1524272400
Esperance,AU,2071860,-33.86,121.89,78.88,42,0,4.5,1524276897
Mount Gambier,AU,2156643,-37.83,140.78,70.42,84,0,3.04,1524276897
Rio Gallegos,AR,3838859,-51.62,-69.22,39.2,55,0,20.8,1524272400
Rawson,AR,3839307,-43.3,-65.11,63.04,30,0,9.15,1524276898
Coihaique,CL,3894426,-45.58,-72.07,42.8,93,20,2.24,1524272400
Port Lincoln,AU,2063036,-34.72,135.86,72.22,77,0,5.12,1524276898
Necochea,AR,3430443,-38.55,-58.74,65.65,96,88,3.04,1524276898
Christchurch,NZ,2192362,-43.53,172.64,60.34,70,92,10.65,1524276656
Wyndham,NZ,2178933,-46.33,168.85,45.31,100,92,18.54,1524276898
Waipawa,NZ,2185329,-39.94,176.59,63.04,58,8,21.45,1524276899
Saldanha,ZA,3361934,-33.01,17.94,53.14,93,0,4.61,1524276899
Viedma,AR,3832899,-40.81,-62.99,61.96,40,0,7.36,1524276899
Te Anau,NZ,2181625,-45.41,167.72,43.33,98,92,7.29,1524276899
Waitati,NZ,2179825,-45.75,170.57,51.52,60,48,19.33,1524276899
Ancud,CL,3899695,-41.87,-73.83,54.67,93,56,7.25,1524276900
Bambous Virieux,MU,1106677,-20.34,57.76,78.8,83,75,14.99,1524272400
San Carlos de Bariloche,AR,7647007,-41.13,-71.31,51.8,81,40,18.34,1524272400
Rio Grande,BR,3451138,-32.03,-52.1,70.87,99,92,7.52,1524276900
Hokitika,NZ,2206894,-42.72,170.96,55.66,100,92,21.9,1524276961
Wellington,NZ,2179537,-41.29,174.78,64.12,82,0,23.13,1524276858
Wanaka,NZ,2184707,-44.7,169.14,48.82,48,64,8.08,1524276961
Batemans Bay,AU,2176639,-35.71,150.18,65.29,91,56,3.11,1524276961
General Roca,AR,3855065,-39.03,-67.58,68.0,45,0,4.7,1524272400
Opunake,NZ,2206357,-39.45,173.86,61.24,96,80,22.35,1524276961
Valdivia,CL,3868707,-39.81,-73.25,57.2,100,75,2.24,1524272400
Manaia,NZ,2187826,-39.55,174.12,61.24,96,80,22.35,1524276962
Neuquen,AR,3843123,-38.95,-68.06,68.0,45,0,4.7,1524272400
Westport,NZ,2206900,-41.75,171.6,52.69,100,92,5.84,1524276962
Ulladulla,AU,2145554,-35.36,150.48,62.6,100,90,5.39,1524272400
Gisborne,NZ,2206854,-38.66,178.02,67.99,61,24,18.1,1524276882
Lebu,CL,3883457,-37.62,-73.65,57.64,93,92,8.3,1524276963
Crib Point,AU,2169995,-38.35,145.2,63.85,99,64,3.78,1524276963
Sale,AU,2150615,-38.11,147.06,66.37,80,12,3.49,1524276963
Santa Rosa,AR,3835994,-36.62,-64.29,65.47,85,0,8.14,1524276963
Opotiki,NZ,2208332,-38.01,177.29,64.57,100,56,20.6,1524276964
Knysna,ZA,988698,-34.04,23.05,50.0,100,0,3.36,1524272400
Stawell,AU,2148431,-37.06,142.77,69.34,72,92,4.12,1524276964
Victor Harbor,AU,2059470,-35.55,138.62,84.2,30,0,13.87,1524276000
Margate,ZA,978895,-30.86,30.37,68.62,99,68,10.6,1524276964
Cooma,AU,2170577,-36.24,149.13,60.61,96,24,3.33,1524276965
Dargaville,NZ,2191911,-35.94,173.86,66.19,74,92,15.57,1524276965
Kiama,AU,2161515,-34.67,150.86,62.6,100,90,3.49,1524272400
Flinders,AU,6255012,-34.58,150.85,62.6,100,90,3.49,1524272400
Ahipara,NZ,2194098,-35.17,173.16,63.58,94,92,12.84,1524276965
Tairua,NZ,2182010,-37.02,175.85,65.65,69,64,10.09,1524276965
Veinticinco de Mayo,AR,3427537,-27.38,-54.75,70.24,92,8,2.21,1524276966
Lincoln,AR,3846864,-34.87,-61.53,68.8,96,88,3.49,1524276966
Constitucion,CL,3893726,-35.33,-72.42,54.58,95,0,8.52,1524276966
Nelson Bay,AU,2155562,-32.72,152.14,71.6,64,40,14.99,1524276000
Geraldton,AU,2070998,-28.77,114.6,71.6,49,80,3.36,1524274200
Port Macquarie,AU,2152659,-31.43,152.91,68.0,88,90,5.82,1524276000
Chimbarongo,CL,3895061,-34.71,-71.04,55.4,87,0,0.87,1524272400
Collie,AU,2074113,-33.36,116.15,62.32,96,100,10.6,1524276968
Russell,NZ,2188874,-35.26,174.12,63.94,78,76,12.62,1524276971
